Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Оніщук,Миколай,Леонідович,male,2005-10-01,Копірайтер,хутір Шпола,"узвіз Курортний, буд. 78 кв. 15, Бердичів, 58438",033 842-59-56,olhanikoliuk@example.net
Гуцуляк,Людмила,Марківна,female,2007-06-19,Кадровий менеджер,хутір Родинське,"проспект Тимірязєва, буд. 8, Світловодськ, 08746",+380 (54) 757-01-01,ppalii@example.com
Бабій,Юхим,Зеновійович,male,1972-03-26,Тестувальник,селище Сокаль,"провулок Разумовська, буд. 7 кв. 241, Корець, 84512",064 947 25 02,myroslavzabashta@example.com
Червоненко,Пармен,Петрович,male,2003-02-01,Офіс-менеджер,місто Голубівка,"сквер Хвойний, буд. 16 кв. 834, Дружківка, 36891",+380 (70) 458-32-04,abaidak@example.com
Бандера,Симон,Романович,male,1960-01-05,Кадровий менеджер,село Бучач,"сквер Соляний 2-й, буд. 22, Надвірна, 32754",475-25-09,leonid71@example.org
Лагода,Прохір,Остапович,male,1947-10-28,Тестувальник,місто Ізюм,"площа Академіка Вавилова, буд. 91 кв. 95, Городок, 45989",+380 86 763-83-29,hvakarchuk@example.com
Саєнко,Ярема,Вікторович,male,1961-09-06,Менеджер з продукту,селище Хрустальний,"парк Туристська, буд. 41 кв. 523, Олександрія, 99538",+380 (87) 505-12-42,emiliiavernyhora@example.com
Баранець,Орест,Мар'янович,male,1999-05-22,Архітектор,село Умань,"набережна Ланжерон, буд. 7 кв. 800, Богодухів, 61945",+380 48 430 32 80,orkhyphuzii@example.org
Алексійчук,Оксана,Романівна,female,1948-09-10,Бухгалтер,село Старокостянтинів,"узвіз Могилівська, буд. 618, Гребінка, 84085",+380 (64) 023-75-84,ieva64@example.org
Ґереґа,Богданна,Леонідівна,female,1996-06-21,HR-менеджер,селище Первомайськ,"шосе Український 3-й, буд. 575 кв. 13, Бахмач, 12641",097 637-80-85,tarasenkoielysei@example.com
Цісик,Спас,Григорійович,male,1983-12-12,Фінансовий аналітик,село Ланівці,"площа Далекосхідна, буд. 35, Мар'їнка, 24361",008 896 60 17,orysiaoliinyk@example.net
Оліфіренко,Зиновій,Григорійович,male,1967-03-04,Програміст,хутір Сімферополь,"провулок 8-ма Суворовська, буд. 4 кв. 502, Винники, 42839",+380 (35) 546-25-23,ddeineko@example.com
Токар,Марина,Захарівна,female,1940-05-12,Аналітик даних,хутір Гуляйполе,"шосе Космонавта Комарова, буд. 78, Петрово-Красносілля, 80946",073 174-15-75,qhuzenko@example.net
Мазур,Лукʼян,Денисович,male,1960-11-05,Дизайнер,місто Герца,"шосе Шахтинський, буд. 032, Южне, 48661",056 481-46-25,iefremdeineko@example.com
Жайворон,Давид,Юрійович,male,1984-02-10,Менеджер з закупівель,селище Шумськ,"вулиця Польська, буд. 528, Теребовля, 89860",+380 21 173-41-97,tsiupaorest@example.com
Дахно,Ольга,Олексіївна,female,1942-01-04,Архітектор,селище Лутугине,"провулок Аеродромний 1-й, буд. 0, Корюківка, 12765",+380 (95) 016-46-61,ievhenshcherbak@example.org
Удовиченко,Варвара,Марківна,female,1954-09-13,PR-менеджер,хутір Костопіль,"шосе Софії Перовської, буд. 50, Вуглегірськ, 28886",+380 (32) 708-63-10,iustynamakarenko@example.net
Захарченко,Степан,Геннадійович,male,1980-08-23,Аудитор,селище Сокаль,"парк Басейна, буд. 55 кв. 683, Глобине, 78143",+380 (49) 789-18-92,mazurvira@example.org
Дейсун,Трохим,Геннадійович,male,2004-05-06,Дизайнер,селище Луцьк,"шосе Лазурний 5-й, буд. 7 кв. 0, Кобеляки, 92854",+380 05 647-12-19,olenachupryna@example.net
Джус,Алевтин,Денисович,male,1991-03-15,Фінансовий аналітик,селище Бершадь,"сквер Лінія 52-га, буд. 23 кв. 94, Берестечко, 76599",+380 89 045-33-49,karmaliukomelian@example.org
Яремко,Михайлина,Костянтинівна,female,1986-04-14,Інженер з якості,хутір Лиман ,"парк Лядова, буд. 0 кв. 85, Сокаль, 64866",+380 (27) 172-18-51,arkadii60@example.org
Калениченко,Мирон,Остапович,male,1956-09-28,Фінансовий аналітик,село Першотравенськ,"вулиця Академічний, буд. 04 кв. 71, Буськ, 39317",+380 72 339-20-70,tereza23@example.net
Ковпак,Борислав,Федорович,male,1949-10-05,Копірайтер,село Теплодар,"проспект Патріотична, буд. 4 кв. 7, Дубровиця, 89888",075-93-52,maksym25@example.com
Фурс,Леонід,Олександрович,male,1980-02-21,Асистент керівника,селище Здолбунів,"проспект Радіальна, буд. 4, Мена , 74069",993 60 48,klavdiia02@example.org
Негода,Ірина,Назарівна,female,1983-06-03,Кадровий менеджер,хутір Дубляни,"вулиця Хімічний 1-й, буд. 196 кв. 50, Жовті Води, 23180",+380 14 142-55-56,fgoliash@example.com
Нестеренко,Йосип,Юрійович,male,1947-09-07,Дизайнер,село Миргород,"провулок Станційна 3-тя, буд. 2, Антрацит , 15959",982-41-77,mderiazhnyi@example.net
Алексеєнко,Павло,Данилович,male,1988-06-18,Менеджер з продукту,село Олевськ,"сквер Трудових резервів, буд. 37, Остер , 52150",086 563-75-06,vadymshylo@example.net
Даценко,Оксенія,Вікторівна,female,1986-04-18,Аналітик даних,місто Коломия,"вулиця Вернидуба, буд. 418 кв. 59, Зугрес, 88050",+380 83 415-66-32,bdashenko@example.com
Артюшенко,Володимира,Тимофіївна,female,1979-11-16,Менеджер з продукту,хутір Чигирин,"парк П'ята, буд. 94 кв. 84, Білицьке, 35498",001 763-34-26,ksheremeta@example.com
Власенко,Климент,Сергійович,male,1974-01-09,Офіс-менеджер,село Балаклія,"провулок Посівна, буд. 0 кв. 5, Генічеськ, 86937",+380 55 137-29-16,goliashborys@example.net
Яременко,Опанас,Андрійович,male,2000-07-08,Бухгалтер,місто Барвінкове,"сквер Ювілейний 1-й, буд. 0 кв. 70, Вознесенськ, 19697",+380 52 474-89-24,rozaliia46@example.org
Безбородьки,Богодар,Григорійович,male,1997-05-14,HR-менеджер,селище Золочів,"проспект Злакова, буд. 555, Березівка, 53156",+380 52 707-73-89,spas36@example.org
Титаренко,Едуард,Андрійович,male,1974-04-30,Програміст,селище Арциз,"парк Поштовий, буд. 5, Вижниця, 19230",+380 54 400-34-52,omelian40@example.org
Верхола,Дмитро,Павлович,male,1979-12-15,Архітектор,село Світлодарськ,"вулиця Осіння, буд. 493 кв. 617, Бердичів, 32360",150 62 72,irena64@example.com
Захарченко,Марина,Ігорівна,female,2007-01-16,Офіс-менеджер,село Красногорівка,"площа Балтська дорога, буд. 6, Голубівка, 21680",+380 (59) 234-02-02,vyshyvanyianita@example.net
Деряжний,Теодор,Марківич,male,1962-06-18,Інженер з якості,місто Буринь,"сквер Хутірська, буд. 29 кв. 292, Вовчанськ, 01134",+380 66 737 74 99,iurchenkomykhailyna@example.org
Ґерус,Єлисавета,Василівна,female,2008-12-15,Менеджер з продукту,село Вашківці,"вулиця Академічний, буд. 08 кв. 2, Новояворівськ, 67045",425 44 92,anita09@example.com
Ісаєвич,Христина,Романівна,female,1986-01-25,Менеджер з маркетингу,селище Моршин,"узвіз Східчастий 3-й, буд. 787, Сміла, 88940",+380 (91) 460-28-65,ltereshchuk@example.net
Арсенич,Сніжана,Геннадіївна,female,1949-12-22,Дизайнер,місто Жовква,"шосе Віри Інбер, буд. 70 кв. 5, Добропілля, 16061",431 63 03,hannababenko@example.net
Колодуб,Богдан,Давидович,male,1986-02-23,Системний адміністратор,хутір Корець,"шосе Пiвденний, буд. 842, Червоноград, 92958",+380 (18) 861-84-55,varfolomiiromanchuk@example.com
Малишко,Микита,Назарович,male,1946-02-05,Системний адміністратор,село Галич,"узвіз Яші Гордієнка, буд. 979 кв. 905, Яремче, 06989",510 89 00,valentyn81@example.org
Вдовиченко,Марія,Данилівна,female,1998-05-31,Менеджер з маркетингу,місто Середина-Буда,"проспект Єлисаветградський, буд. 4, Сулимівка (Слов'янськ), 89747",+380 36 780-72-63,sirkostefan@example.com
Жученко,Клавдія,Андріївна,female,1984-01-29,Фінансовий аналітик,хутір Жмеринка,"шосе 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 62, Хоростків, 35431",+380 79 126-68-00,tvashchenko@example.net
Шутько,Пармен,Олегович,male,2003-12-11,Програміст,місто Мукачево,"площа Першотравневий 1-й, буд. 52 кв. 9, Калуш, 12921",085 089 52 61,arkhymovychveniiamyn@example.net
Ванченко,Амалія,Станіславівна,female,1967-11-29,Офіс-менеджер,селище Дебальцеве,"шосе Красних Зорь, буд. 97, Шахтарськ, 67430",+380 (65) 531-29-57,qavramchuk@example.net
Михалюк,Тереза,Ярославівна,female,1939-12-23,Копірайтер,селище Хоростків,"площа Мічуріна, буд. 6, Городок, 63181",+380 37 809-20-91,ivanychukolha@example.net
Єресько,Борис,Євгенович,male,1986-06-08,Системний адміністратор,селище Борислав,"проспект Старицького, буд. 83 кв. 831, Тернівка , 83131",+380 (16) 536-54-85,hennadiihupalo@example.net
Бабариченко,Лукʼян,Борисович,male,1941-12-09,Тестувальник,місто Нова Одеса,"проспект Східчастий 4-й, буд. 617 кв. 1, Добромиль, 10991",541-64-20,ikhomenko@example.com
Гайденко,Валентин,Григорійович,male,1940-12-01,Менеджер з закупівель,село Біла Церква,"провулок Вапняна, буд. 36, Бахмач, 16371",+380 00 390 35 38,snizhana91@example.org
Вернидуб,Альбіна,Борисівна,female,1988-11-13,Менеджер з маркетингу,місто Теплодар,"вулиця Флотська, буд. 307 кв. 4, Сулимівка (Слов'янськ), 77485",+380 65 960-88-37,levchenkovioletta@example.org
Примаченко,Роман,Олексійович,male,1952-10-24,Бухгалтер,село Суми,"площа Шкіперська, буд. 7 кв. 030, Берестечко, 95346",+380 49 462-48-41,cirvanets@example.net
Бгиденко,Трохим,Андрійович,male,1946-06-18,Архітектор,хутір Нова Одеса,"узвіз Вєтрова, буд. 2 кв. 115, Люботин, 89859",923 06 32,nestor94@example.org
Балабан,Гліб,Григорійович,male,2002-01-15,Дизайнер,місто Золоте,"вулиця Моторний 1-й, буд. 44, Новояворівськ, 04174",009 732 07 11,asaulaavrelii@example.org
Ковалюк,Єва,Василівна,female,1972-10-28,Аудитор,хутір Географія Вільнянська,"вулиця Далекосхідна, буд. 2, Сіверськ, 17777",058 393 56 02,wzaporozhets@example.net
Бандурка,Валентина,Михайлівна,female,2004-08-09,Кадровий менеджер,село Апостолове,"проспект Волоколамська, буд. 96 кв. 666, Мар'їнка, 57661",292 55 06,taraslesyk@example.com
Цушко,Аліна,Захарівна,female,1982-10-08,HR-менеджер,хутір Білопілля,"вулиця Басейний 6-й, буд. 643 кв. 046, Кременець, 22542",421-38-96,spasilienko@example.org
Гайденко,Климент,Андрійович,male,1957-05-11,Дизайнер,місто Кіцмань,"площа 8-ма Суворовська, буд. 84, Бунге , 39517",+380 (60) 725-56-97,riashchenko@example.net
Шинкаренко,Левко,Марківич,male,1955-09-27,Програміст,селище Копичинці,"площа Ольгіївська, буд. 74 кв. 837, Брянка, 69556",+380 (15) 615-59-24,tetiana01@example.net
Хоменко,Богданна,Сергіївна,female,1946-04-26,Системний адміністратор,хутір Новий Буг,"вулиця Амбулаторний 1-й, буд. 816 кв. 13, Городище , 68574",+380 (44) 315-58-48,jfesenko@example.net
Медведенко,Йосип,Станіславович,male,1997-05-01,Аудитор,село Хоростків,"парк Амбулаторний 2-й, буд. 10, Судова Вишня, 79960",099-91-38,leontiihaievskyi@example.net
Іванченко,Олександр,Тарасович,male,1987-11-14,Дизайнер,село Федорівка,"провулок Вчительської, 2-й, буд. 90, Білогірськ, 86776",070 00 22,shchyrytsiaolha@example.net
Гайдабура,Світлана,Андріївна,female,1982-09-16,Асистент керівника,село Щолкіне,"парк Майстерний, буд. 46 кв. 10, Миронівка, 79137",201-24-51,vira96@example.net
Андрієнко,Емілія,Станіславівна,female,2001-12-27,Асистент керівника,місто Першотравенськ,"проспект Гранатна, буд. 3, Святогірськ, 58013",+380 73 433 36 58,miroshnychenkoiarema@example.org
Аврамчук,Юстина,Борисівна,female,1950-03-09,Менеджер з продукту,село Мена ,"сквер Чорноморський 11-й, буд. 5 кв. 4, Ланівці, 22938",+380 (91) 506-68-74,mykolaizhuk@example.com
Шеремета,Устим,Володимирович,male,1950-01-06,Програміст,село Вижниця,"вулиця Калинова, буд. 4 кв. 7, Калинівка , 09451",024 000 08 26,sarkhymovych@example.net
Гайворонський,Леопольд,Андрійович,male,1958-11-10,PR-менеджер,місто Деражня,"площа Карпатська, буд. 71 кв. 10, Заводське, 27440",050 395 76 62,priskazasiadko@example.net
Івасюк,Левко,Петрович,male,1961-11-02,Системний адміністратор,хутір Хотин,"провулок Каспійський, буд. 2 кв. 81, Звенигородка, 53888",872 11 29,siakymenko@example.org
Полтавець,Галина,Федорівна,female,1942-03-29,Системний адміністратор,село Ківерці,"набережна Прорізний, буд. 8 кв. 5, Березань , 86200",362 59 97,iustym63@example.com
Юрчишин,Варвара,Тимофіївна,female,2001-09-18,Системний адміністратор,місто Горішні Плавні,"проспект Люстдорфська дорога, буд. 490, Корець, 86948",+380 44 539-25-09,babychmykyta@example.net
Хмара,Демид,Олександрович,male,1990-02-02,Асистент керівника,селище Алмазна,"набережна Лузанівська, буд. 4, Луцьк, 77105",097 128-08-34,ksirchenko@example.org
Ґерета,Василина,Зеновіївна,female,1986-02-04,Програміст,хутір Переяслав,"вулиця Докова, буд. 75 кв. 6, Вознесенівка, 81281",+380 02 285-73-26,leopolddrobakha@example.com
Дергач,Олег,Сергійович,male,1999-02-02,Фінансовий аналітик,хутір Новий Розділ,"сквер Альпіністів, буд. 020 кв. 123, Соледар, 24945",+380 72 424-96-42,serhiidashkevych@example.com
Килимник,Алевтин,Мар'янович,male,1974-04-27,Аналітик даних,селище Пологи ,"проспект Степний 2-й, буд. 89 кв. 2, Привілля, 76582",136 52 98,adam46@example.net
Колодуб,Мілена,Павлівна,female,2006-04-16,Менеджер з продукту,хутір Бершадь,"узвіз Прохоровський, буд. 03, Нікополь, 98726",+380 05 606 69 88,zlatoslava39@example.com
Вернигора,Юхим,Остапович,male,1999-04-22,Менеджер з маркетингу,місто Барвінкове,"проспект Чапаєва, буд. 352, Вільногірськ, 46027",398-48-53,nazarvashchuk@example.net
Дейсун,Леон,Олегович,male,1950-04-27,Бухгалтер,місто Соснівка ,"площа Ширшова, буд. 0, Луцьк, 51374",684-01-39,kovpakpetro@example.net
Ковалюк,Герман,Назарович,male,1948-09-11,PR-менеджер,селище Олександрівськ,"узвіз Парашутний, буд. 9, Ірміно, 06907",+380 37 272-30-55,baidaodarka@example.org
Андрієнко,Варвара,Данилівна,female,1958-10-22,Менеджер з продукту,місто Сокиряни,"провулок Восьмого березня 9-й, буд. 945 кв. 08, Тиврів, 44515",078 674-93-89,milena17@example.com
Цимбал,Леонід,Мар'янович,male,1983-12-03,Менеджер з продажу,село Решетилівка,"набережна Моторний 2-й, буд. 687, Богуслав, 57011",+380 87 011-47-12,eshelest@example.org
Яценко,Августин,Мар'янович,male,1956-09-13,Менеджер з закупівель,село Тячів,"узвіз Чернівецький, буд. 9 кв. 3, Свалява, 60515",+380 82 186 59 08,ustym62@example.org
Опанасенко,Ростислав,Петрович,male,1977-08-30,Системний адміністратор,селище Хрустальний,"провулок Сільськогосподарський, буд. 21 кв. 608, Батурин, 88177",028 524-69-67,shamraibohodar@example.org
Бабиченко,Євген,Вікторович,male,1972-07-12,Менеджер з продукту,хутір Буча,"сквер Совіньйонівський, буд. 02, Лисичанськ, 18891",+380 83 776-38-15,tverdokhlibvolodymyra@example.org
Зінкевич,Святослава,Олексіївна,female,1985-07-08,Аналітик даних,село Керч,"узвіз Партизанської Слави, буд. 346, Буча, 85940",+380 30 270 46 84,rmykytiuk@example.org
Вернигора,Сніжана,Олександрівна,female,1992-06-30,Офіс-менеджер,хутір Дергачі,"провулок Рибальська, буд. 9, Петрово-Красносілля, 08062",749-21-44,herman80@example.com
Чарниш,Валентина,Олексіївна,female,1978-09-22,Фінансовий аналітик,хутір Токмак,"набережна Михайла Грушевського, буд. 81, Чугуїв, 52455",+380 77 103 85 93,bohuslavaromanets@example.com
Овсієнко,Віра,Олексіївна,female,1970-05-01,Офіс-менеджер,селище Родинське,"шосе Васнецова, буд. 044, Ізмаїл, 08193",038-42-83,czabila@example.net
Гаврилюк,Ірена,Олександрівна,female,1962-11-26,Аналітик даних,місто Сулимівка (Слов'янськ),"набережна Баркасний, буд. 050 кв. 274, Васильків, 27638",+380 (53) 293-82-81,okseniia42@example.com
Дейнеко,Данило,Станіславович,male,1983-03-28,Асистент керівника,місто Знам'янка,"провулок Лінія 23-тя, буд. 6 кв. 7, Семенівка, 87964",+380 20 167-73-21,les10@example.com
Романенко,Єва,Кирилівна,female,1957-08-20,Кадровий менеджер,хутір Дебальцеве,"проспект Проїзний 1-й, буд. 56 кв. 7, Полтава, 34056",031 951 47 46,klyment85@example.com
Василечко,Стефан,Федорович,male,1980-10-22,Аудитор,хутір Галич,"узвіз Торгова, буд. 9 кв. 6, Канів, 75707",+380 63 578-52-61,rudkomakar@example.net
Щириця,Демʼян,Кирилович,male,1948-11-21,Менеджер з продажу,місто Сновськ,"узвіз Деволанівська, буд. 230, Бобровиця, 84486",968 77 19,bebeshkoielysaveta@example.com
Вакарчук,Едита,Станіславівна,female,1995-04-21,Архітектор,хутір Березівка,"площа Соляний 6-й, буд. 79, Гребінка, 70255",+380 82 191 55 23,shcherbaknataliia@example.org
Яковенко,Олена,Андріївна,female,1984-09-05,Бухгалтер,село Одеса,"парк Біляївська, буд. 7 кв. 776, Кам'янка-Дніпровська, 89553",115-49-67,demyd11@example.net
Євтушенко,Кирило,Петрович,male,1940-05-26,HR-менеджер,місто Курахове,"узвіз Литовська, буд. 08 кв. 91, Барвінкове, 68924",831-52-79,sivashchenko@example.org
Копитко,Софія,Костянтинівна,female,2004-07-09,Менеджер з маркетингу,село Теребовля,"набережна Житомирська, буд. 799 кв. 3, Балта, 99455",418 52 00,qfurs@example.net
Аврамчук,Нестор,Станіславович,male,1996-03-04,Менеджер з маркетингу,село Ворожба,"провулок Світлий, буд. 20, Хоростків, 35091",+380 52 285 36 96,kdarahan@example.com
Редько,Амалія,Євгенівна,female,1938-12-16,Асистент керівника,місто Кобеляки,"площа Пироговська, буд. 335 кв. 82, Переяслав, 26903",+380 (34) 326-34-87,vasylynabebeshko@example.net
Дробаха,Роман,Борисович,male,1938-12-18,Тестувальник,хутір Мала Виска,"проспект Морський 2-й, буд. 17, Верхньодніпровськ, 72971",+380 (06) 291-10-91,lukian21@example.com
Бабак,Йосип,Олегович,male,1952-02-20,Менеджер з закупівель,селище Луцьк,"сквер Республіканська, буд. 2, Керч, 18632",+380 60 866-46-14,czaichenko@example.net
Негода,Ірина,Леонідівна,female,1988-04-22,Менеджер з продукту,селище Святогірськ,"парк Василя Кандинського 2-й, буд. 353, Почаїв, 78745",+380 42 160 67 95,qriabets@example.net
Канівець,Валентина,Петрівна,female,1970-12-10,Дизайнер,місто Калуш,"провулок Текстильників, буд. 7, Сорокине, 42319",434 99 92,haievskyivolodymyr@example.com
Усик,Ілля,Юрійович,male,1966-04-11,Кадровий менеджер,село Кагарлик,"набережна Трудовий, буд. 72, Селидове, 66866",022 322 84 83,ldzhun@example.com
Вишняк,Остап,Данилович,male,2004-05-06,Програміст,селище Решетилівка,"набережна Шишкіна, буд. 140, Буча, 12282",+380 92 108-00-27,davydskorobohatko@example.com
Давиденко,Юстина,Тарасівна,female,1968-03-10,Інженер з якості,село Старий Крим,"набережна Богдана Хмельницького, буд. 96 кв. 55, Чистякове, 68253",+380 32 227-73-94,kshablii@example.com
Туркало,Оксенія,Олексіївна,female,1997-10-13,Програміст,хутір Волочиськ,"набережна Друга, буд. 2, Тячів, 39570",457-17-20,danyliukiaroslava@example.net
Петренко,Микита,Іванович,male,1956-03-19,Менеджер з продукту,хутір Коростишів,"шосе Данила Крижанівського, буд. 326, Хмільник, 96724",+380 56 407 39 88,liashkoielysaveta@example.com
Малик,Амалія,Вікторівна,female,1948-10-24,Системний адміністратор,селище Тисмениця,"провулок Стороженка Олега, буд. 21, Оріхів, 12948",097 588-52-47,partemenko@example.com
Малишко,Софія,Тимофіївна,female,1943-04-27,Програміст,селище Сторожинець,"провулок Ванцетті, буд. 92 кв. 0, Кіцмань, 10565",073-35-23,ishchakbohodar@example.com
Яценко,Галина,Олексіївна,female,1950-01-31,Кадровий менеджер,село Горлівка,"провулок Дніпровська, буд. 055 кв. 7, Бережани, 33096",+380 (62) 415-59-97,haidamakavadym@example.net
Бевзенко,Мілена,Вікторівна,female,2000-07-06,Фінансовий аналітик,хутір Тараща,"узвіз Павлодарська, буд. 447, Мирноград, 83542",660-12-02,oleh97@example.net
Ісаєнко,Нестор,Михайлович,male,1938-07-07,Дизайнер,село Кадіївка,"шосе Іцхака Рабіна, буд. 935 кв. 53, Баранівка, 12448",+380 00 192-41-57,diurchenko@example.com
Ґерус,Альбіна,Тарасівна,female,1969-04-11,Менеджер з продукту,селище Бахмач,"площа Толбухіна, буд. 79, Гадяч, 19178",+380 39 549 54 72,iefrem52@example.org
